127.0.0.1, 2011-12-23 09:23:03, GET, /admin/default/twitter, HTTP/1.1, 200, 1.177797
127.0.0.1, 2011-12-23 09:23:04, GET, /admin/default/design/jmtws, HTTP/1.1, 200, 0.044153
127.0.0.1, 2011-12-23 09:23:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
127.0.0.1, 2011-12-23 09:23:09, GET, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.020064
127.0.0.1, 2011-12-23 09:23:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000178
127.0.0.1, 2011-12-23 09:23:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2011-12-23 09:23:20, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.017690
127.0.0.1, 2011-12-23 09:23:54, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.017956
127.0.0.1, 2011-12-23 09:24:07, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.021185
127.0.0.1, 2011-12-23 09:24:11, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.016172
127.0.0.1, 2011-12-23 09:24:21, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.017293
127.0.0.1, 2011-12-23 09:24:32, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.017339
127.0.0.1, 2011-12-23 09:24:37, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.024640
127.0.0.1, 2011-12-23 09:24:41, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.019634
127.0.0.1, 2011-12-23 09:24:59, POST, /jmtws/default/jmt/mva, HTTP/1.1, 200, 0.071674
127.0.0.1, 2011-12-23 09:33:17, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.019289
127.0.0.1, 2011-12-23 09:33:31, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.015733
127.0.0.1, 2011-12-23 09:33:32, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.017763
127.0.0.1, 2011-12-23 09:33:34, POST, /admin/default/edit/jmtws/controllers/default.py, HTTP/1.1, 200, 0.028319
127.0.0.1, 2011-12-23 09:34:20, POST, /jmtws/default/jmt/mva, HTTP/1.1, 500, 0.148564
127.0.0.1, 2011-12-23 09:34:54, GET, /admin/default/ticket/jmtws/127.0.0.1.2011-12-23.09-34-20.f7952ed8-c7c5-445f-bd1e-a55e503ba7f8, HTTP/1.1, 200, 0.099052
